Route,RouteNum,Dir,EOL
180,180,Inbound,College Park Stn
180,180,Outbound,Union City
180L,180,Inbound,College Park Stn
180L,180,Outbound,Palmetto
182,182,Inbound,College Park Stn
182,182,Outbound,Union City
184,184,Inbound,College Park Stn
184,184,Outbound,Union City
185,185,Inbound,WindwaRdP&R Lot
185,185,Outbound,North Springs Stn
187,187,Inbound,College Park Stn
187,187,Outbound,Southampton
191,191,Inbound,Lakewood Stn
191,191,Outbound,Lakewood Stn
191a,191,Inbound,Lakewood Stn
191a,191,Outbound,Justice Center
191b,191,Inbound,Lakewood Stn
191b,191,Outbound,Justice Center
192,192,Inbound,East Point Stn
192,192,Outbound,Justice Center
193,193,Inbound,East Point Stn
193,193,Outbound,Justice Center
194,194,Inbound,Lakewood Stn
194,194,Outbound,Southlake Mall
195,195,Inbound,Ellenwood Twn Ctr
195,195,Outbound,College Park Stn
196,196,Inbound,College Park Stn
196,196,Outbound,Southlake Mall
197,197,Inbound,Davidson Pky
197,197,Outbound,Riverdale Twn Ctr
198,198,Inbound,Southlake Mall
198,198,Outbound,Riverdale Twn Ctr
800,800,Inbound,Justice Center
800,800,Outbound,Justice Center
