StopAbbr,Lines
213616,115 Covington Hwy (Inbound)
213615,84a Washington CW loop (Inbound&Outbound)
213614,84b Washington CCW loop (Outbound)
213612,25 Peachtree / Chamblee (Outbound)
213609,34 Gresham (Outbound)
213608,"34 Gresham (Outbound), 74 Moreland / Flat Shoals (Inbound)"
213607,800 Lovejoy (Inbound)
213603,"20L Rainbow / Fairington (Inbound), 20p Rainbow / Fairington (Inbound)"
213602,800 Lovejoy (Inbound)
213601,800 Lovejoy (Inbound)
213600,800 Lovejoy (Inbound)
213599,800 Lovejoy (Inbound)
213598,7 Monroe / Abernathy (Outbound)
213597,7 Monroe / Abernathy (Inbound)
213596,7 Monroe / Abernathy (Outbound)
213593,165 Fairburn (Outbound)
213592,14 Holmes / Blandtown (Inbound)
213591,51 McGill / Boone (Inbound)
213589,"20L Rainbow / Fairington (Inbound), 20p Rainbow / Fairington (Inbound), 20 Rainbow / Fairington (Inbound)"
213586,"26a Perry / Hamilton E Holmes / Bolton (Inbound), 26b Perry / Hamilton E Holmes / Jackson (Inbound)"
213581,15 Clifton / Candler (Inbound)
213580,11 Defoor / Emery (Outbound)
213575,122 Lawrenceville Hwy (Outbound)
213569,7 Monroe / Abernathy (Inbound)
213567,7 Monroe / Abernathy (Outbound)
213555,15L Clifton / Panthersville (Inbound)
213546,32 Bouldercrest (Outbound)
213545,32 Bouldercrest (Outbound)
213544,32 Bouldercrest (Outbound)
213543,32 Bouldercrest (Outbound)
213542,32 Bouldercrest (Outbound)
213541,15L Clifton / Panthersville (Outbound)
213531,55 Jonesboro (Outbound)
213530,800 Lovejoy (Inbound)
213529,800 Lovejoy (Inbound)
213528,26b Perry / Hamilton E Holmes / Jackson (Outbound)
213525,195 Forest Parkway (Inbound)
213523,2L Ponce de Leon / Hollowell (Inbound&Outbound)
213520,115 Covington Hwy (Outbound)
213513,182 Fulton Hwy / Union City (Inbound)
213514,182 Fulton Hwy / Union City (Outbound)
213370,51 McGill / Boone (Outbound)
213472,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
213471,"191a Riverdale / Charlotte Woods (Outbound), 191b Riverdale / Flint River (Outbound)"
213470,"191a Riverdale / Charlotte Woods (Inbound), 191b Riverdale / Flint River (Inbound)"
