StopAbbr,Lines
902903,185 Alpharetta (Outbound)
902900,144 North Point Pkwy / Brookside (Inbound)
902869,5 Piedmont / Sandy Springs (Inbound)
902857,185 Alpharetta (Outbound)
902797,144 North Point Pkwy / Brookside (Inbound)
902789,185 Alpharetta (Outbound)
902727,87 Roswell / Sandy Springs (Inbound)
902722,85 Roswell (Outbound)
902700,"5 Piedmont / Sandy Springs (Outbound), 87 Roswell / Sandy Springs (Inbound)"
902697,"5 Piedmont / Sandy Springs (Outbound), 87 Roswell / Sandy Springs (Inbound)"
902695,"85 Roswell (Inbound), 87 Roswell / Sandy Springs (Outbound)"
902690,132 Tilly Mill (Outbound)
902689,132 Tilly Mill (Inbound)
902680,132 Tilly Mill (Inbound)
902675,132 Tilly Mill (Inbound)
902651,"85 Roswell (Outbound), 87 Roswell / Sandy Springs (Inbound)"
902643,"143 North Point Pkwy / Deerfield (Outbound), 144 North Point Pkwy / Brookside (Outbound)"
902638,144 North Point Pkwy / Brookside (Inbound)
902634,85 Roswell (Inbound)
902633,85 Roswell (Outbound)
902627,85 Roswell (Outbound)
902626,85 Roswell (Outbound)
902625,85 Roswell (Outbound)
902624,85 Roswell (Outbound)
902622,85 Roswell (Inbound)
902602,26a Perry / Hamilton E Holmes / Bolton (Outbound)
902593,125 Clarkston / Chamblee Tucker (Outbound)
902576,110 Peachtree / Lenox (Inbound)
902572,26a Perry / Hamilton E Holmes / Bolton (Inbound&Outbound)
902571,26a Perry / Hamilton E Holmes / Bolton (Inbound)
902551,110 Peachtree / Lenox (Inbound)
902516,110 Peachtree / Lenox (Inbound)
902514,110 Peachtree / Lenox (Inbound)
902454,110 Peachtree / Lenox (Outbound)
902453,110 Peachtree / Lenox (Outbound)
902452,110 Peachtree / Lenox (Outbound)
902386,11 Defoor / Emery (Inbound)
902321,17 Clairmont / Briarcliff (Inbound)
902320,46 I-85 Access Road South (Inbound)
902310,14 Holmes / Blandtown (Outbound)
902264,39 Buford Hwy (Inbound)
902252,11 Defoor / Emery (Inbound&Outbound)
902150,39 Buford Hwy (Inbound)
902149,39 Buford Hwy (Outbound)
902148,39 Buford Hwy (Inbound)
902127,14 Holmes / Blandtown (Outbound)
902109,"121L Memorial / Pleasantdale (Inbound), 121 Memorial (Inbound)"
902059,"11 Defoor / Emery (Inbound), 15 Clifton / Candler (Outbound)"
902048,12 Howell Mill / 10th (Inbound)
902046,12 Howell Mill / 10th (Inbound)
902045,11 Defoor / Emery (Outbound)
902044,12 Howell Mill / 10th (Inbound)
902031,17 Clairmont / Briarcliff (Outbound)
901953,"11 Defoor / Emery (Inbound), 15 Clifton / Candler (Outbound)"
901949,15 Clifton / Candler (Outbound)
901851,11 Defoor / Emery (Inbound)
901800,14 Holmes / Blandtown (Inbound)
901788,11 Defoor / Emery (Outbound)
901766,110 Peachtree / Lenox (Inbound&Outbound)
901726,15 Clifton / Candler (Outbound)
901693,110 Peachtree / Lenox (Inbound)
901678,14 Holmes / Blandtown (Inbound)
901618,"121L Memorial / Pleasantdale (Outbound), 121 Memorial (Outbound)"
901596,15 Clifton / Candler (Inbound)
901550,14 Holmes / Blandtown (Outbound)
901539,17 Clairmont / Briarcliff (Outbound)
901515,"11 Defoor / Emery (Inbound), 15 Clifton / Candler (Outbound)"
901503,14 Holmes / Blandtown (Outbound)
901492,"11 Defoor / Emery (Outbound), 15 Clifton / Candler (Inbound)"
901458,14 Holmes / Blandtown (Outbound)
901436,26a Perry / Hamilton E Holmes / Bolton (Inbound&Outbound)
901430,"109 Peachcrest / Columbia (Outbound), 114 Columbia / Snapfinger (Outbound)"
901414,115 Covington Hwy (Inbound)
901413,115 Covington Hwy (Inbound)
901407,114 Columbia / Snapfinger (Inbound)
901404,"165 Fairburn (Outbound), 73 Fulton Industrial (Outbound)"
901381,73 Fulton Industrial (Outbound)
901359,51 McGill / Boone (Inbound)
901358,51 McGill / Boone (Outbound)
901353,51 McGill / Boone (Outbound)
901339,122 Lawrenceville Hwy (Inbound)
901309,115 Covington Hwy (Outbound)
901270,51 McGill / Boone (Outbound)
901269,51 McGill / Boone (Outbound)
901266,51 McGill / Boone (Outbound)
901200,115 Covington Hwy (Outbound)
901118,3 Martin Luther King Jr (Outbound)
901101,"32 Bouldercrest (Inbound), 4 Moreland (Inbound), 74 Moreland / Flat Shoals (Inbound)"
901047,"32 Bouldercrest (Inbound), 4 Moreland (Inbound), 74 Moreland / Flat Shoals (Inbound)"
901045,"4 Moreland (Inbound), 74 Moreland / Flat Shoals (Inbound)"
900999,3 Martin Luther King Jr (Outbound)
900991,3 Martin Luther King Jr (Inbound)
900941,116 Redan (Inbound)
900939,116 Redan (Inbound)
900917,73 Fulton Industrial (Inbound)
900907,51 McGill / Boone (Inbound)
900901,"14 Holmes / Blandtown (Outbound), 26a Perry / Hamilton E Holmes / Bolton (Outbound), 26b Perry / Hamilton E Holmes / Jackson (Outbound)"
900865,3 Martin Luther King Jr (Inbound)
900844,1 Joseph Lowery / 17th (Outbound)
900799,3 Martin Luther King Jr (Inbound)
900798,3 Martin Luther King Jr (Inbound)
900795,71b Cascade / Fulton Industrial (Inbound)
900788,73 Fulton Industrial (Inbound)
900723,51 McGill / Boone (Outbound)
900717,114 Columbia / Snapfinger (Outbound)
900710,51 McGill / Boone (Inbound)
900709,51 McGill / Boone (Inbound)
900703,51 McGill / Boone (Outbound)
900626,14 Holmes / Blandtown (Inbound)
900583,39 Buford Hwy (Inbound)
900580,39 Buford Hwy (Inbound)
900502,125 Clarkston / Chamblee Tucker (Outbound)
900494,110 Peachtree / Lenox (Inbound)
900466,12 Howell Mill / 10th (Inbound)
900390,12 Howell Mill / 10th (Inbound)
900367,12 Howell Mill / 10th (Inbound)
900357,122 Lawrenceville Hwy (Outbound)
900355,14 Holmes / Blandtown (Outbound)
900341,12 Howell Mill / 10th (Inbound)
900314,121L Memorial / Pleasantdale (Inbound)
900303,121L Memorial / Pleasantdale (Outbound)
900276,"122 Lawrenceville Hwy (Inbound), 125 Clarkston / Chamblee Tucker (Outbound)"
900245,3 Martin Luther King Jr (Inbound)
900234,3 Martin Luther King Jr (Inbound)
900227,3 Martin Luther King Jr (Outbound)
900217,3 Martin Luther King Jr (Outbound)
900118,180L Roosevelt / Palmetto (Outbound)
900110,34 Gresham (Inbound)
900080,12 Howell Mill / 10th (Outbound)
900079,12 Howell Mill / 10th (Inbound&Outbound)
900054,"2L Ponce de Leon / Hollowell (Outbound), 2 Ponce de Leon (Outbound), 51 McGill / Boone (Outbound)"
900045,15 Clifton / Candler (Inbound)
900043,15 Clifton / Candler (Outbound)
900014,185 Alpharetta (Outbound)
900013,"143 North Point Pkwy / Deerfield (Outbound), 185 Alpharetta (Outbound)"
900012,"143 North Point Pkwy / Deerfield (Outbound), 185 Alpharetta (Outbound)"
773140,132 Tilly Mill (Inbound)
773086,132 Tilly Mill (Outbound)
772066,22 Glenwood (Inbound)
907458,7 Monroe / Abernathy (Outbound)
213649,115 Covington Hwy (Inbound)
213627,184 Buffington (Outbound)
213626,184 Buffington (Inbound)
213595,184 Buffington (Inbound)
213594,184 Buffington (Outbound)
213586,"26a Perry / Hamilton E Holmes / Bolton (Outbound), 26b Perry / Hamilton E Holmes / Jackson (Outbound)"
213585,14 Holmes / Blandtown (Outbound)
213517,1 Joseph Lowery / 17th (Inbound)
213509,89a Old National Highway / Flat Shoals (Inbound)
213500,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Outbound)"
213487,89a Old National Highway / Flat Shoals (Outbound)
213486,89a Old National Highway / Flat Shoals (Inbound)
213484,89a Old National Highway / Flat Shoals (Outbound)
213479,89a Old National Highway / Flat Shoals (Inbound)
213478,"84a Washington CW loop (Inbound), 84b Washington CCW loop (Inbound)"
213477,"84a Washington CW loop (Inbound), 84b Washington CCW loop (Inbound)"
213476,"84a Washington CW loop (Inbound), 84b Washington CCW loop (Inbound)"
213475,"84a Washington CW loop (Inbound), 84b Washington CCW loop (Inbound)"
213431,154 Fairburn Heights (Inbound)
213419,1 Joseph Lowery / 17th (Inbound)
213226,165 Fairburn (Inbound)
213208,193 Morrow / Jonesboro (Inbound&Outbound)
213199,193 Morrow / Jonesboro (Inbound&Outbound)
213112,"2L Ponce de Leon / Hollowell (Outbound), 2 Ponce de Leon (Outbound)"
213108,122 Lawrenceville Hwy (Inbound)
213086,12 Howell Mill / 10th (Inbound)
213076,"2L Ponce de Leon / Hollowell (Outbound), 2 Ponce de Leon (Outbound)"
212981,184 Buffington (Outbound)
212980,193 Morrow / Jonesboro (Outbound)
212888,15L Clifton / Panthersville (Inbound)
212878,143 North Point Pkwy / Deerfield (Inbound)
212866,193 Morrow / Jonesboro (Outbound)
212831,193 Morrow / Jonesboro (Outbound)
212812,180L Roosevelt / Palmetto (Outbound)
212780,32 Bouldercrest (Inbound)
212617,34 Gresham (Inbound)
212602,193 Morrow / Jonesboro (Inbound)
212601,193 Morrow / Jonesboro (Inbound)
212600,193 Morrow / Jonesboro (Inbound)
212598,193 Morrow / Jonesboro (Outbound)
212581,193 Morrow / Jonesboro (Outbound)
212580,193 Morrow / Jonesboro (Inbound)
212579,193 Morrow / Jonesboro (Inbound)
212578,193 Morrow / Jonesboro (Inbound)
212577,193 Morrow / Jonesboro (Inbound)
212574,193 Morrow / Jonesboro (Outbound)
212573,193 Morrow / Jonesboro (Outbound)
212572,193 Morrow / Jonesboro (Outbound)
212571,193 Morrow / Jonesboro (Outbound)
212554,193 Morrow / Jonesboro (Inbound)
212553,193 Morrow / Jonesboro (Inbound)
212552,"193 Morrow / Jonesboro (Outbound), 96 Virginia / Lakewood (Outbound)"
212551,193 Morrow / Jonesboro (Outbound)
212544,193 Morrow / Jonesboro (Outbound)
212541,193 Morrow / Jonesboro (Outbound)
212516,193 Morrow / Jonesboro (Inbound)
212515,193 Morrow / Jonesboro (Outbound)
212514,193 Morrow / Jonesboro (Outbound)
212512,193 Morrow / Jonesboro (Outbound)
212511,193 Morrow / Jonesboro (Outbound)
212505,193 Morrow / Jonesboro (Outbound)
212501,193 Morrow / Jonesboro (Outbound)
212500,193 Morrow / Jonesboro (Outbound)
212498,193 Morrow / Jonesboro (Inbound)
212497,193 Morrow / Jonesboro (Outbound)
212496,193 Morrow / Jonesboro (Inbound)
212357,193 Morrow / Jonesboro (Inbound)
212356,193 Morrow / Jonesboro (Inbound)
212353,193 Morrow / Jonesboro (Outbound)
212352,193 Morrow / Jonesboro (Outbound)
212351,193 Morrow / Jonesboro (Outbound)
212350,193 Morrow / Jonesboro (Outbound)
212236,193 Morrow / Jonesboro (Inbound&Outbound)
212233,193 Morrow / Jonesboro (Outbound)
212231,193 Morrow / Jonesboro (Inbound)
212212,89b Old National Highway / Riverdale (Inbound)
212191,15L Clifton / Panthersville (Inbound)
212188,15L Clifton / Panthersville (Outbound)
212079,193 Morrow / Jonesboro (Inbound)
212059,193 Morrow / Jonesboro (Outbound)
212007,184 Buffington (Outbound)
212006,184 Buffington (Inbound)
211926,"5 Piedmont / Sandy Springs (Inbound), 87 Roswell / Sandy Springs (Inbound&Outbound)"
211912,193 Morrow / Jonesboro (Outbound)
211879,117 Stone Mountain / Panola (Inbound)
211874,84b Washington CCW loop (Inbound)
211735,117 Stone Mountain / Panola (Inbound)
211710,"121L Memorial / Pleasantdale (Inbound), 121 Memorial (Inbound)"
211671,120 E Ponce De Leon (Outbound)
211650,78 Cleveland (Inbound)
211583,"121L Memorial / Pleasantdale (Outbound), 87 Roswell / Sandy Springs (Outbound)"
211580,117 Stone Mountain / Panola (Outbound)
211535,49L Hank Aaron / McDonough / Constitution (Inbound)
211532,34 Gresham (Inbound)
211524,"2L Ponce de Leon / Hollowell (Inbound&Outbound), 2 Ponce de Leon (Inbound&Outbound)"
211523,20L Rainbow / Fairington (Inbound)
211511,3 Martin Luther King Jr (Inbound)
211508,51 McGill / Boone (Outbound)
211497,17 Clairmont / Briarcliff (Inbound)
211483,"121L Memorial / Pleasantdale (Outbound), 121 Memorial (Outbound)"
211420,34 Gresham (Inbound)
211413,34 Gresham (Outbound)
211396,74 Moreland / Flat Shoals (Inbound)
211374,51 McGill / Boone (Inbound)
211329,111 Hairston / Wesley Chapel (Outbound)
211290,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
211176,34 Gresham (Outbound)
211133,117 Stone Mountain / Panola (Outbound)
211126,"2L Ponce de Leon / Hollowell (Outbound), 2 Ponce de Leon (Outbound)"
211124,"21 Memorial Drive (Inbound), 22 Glenwood (Inbound)"
211101,"21 Memorial Drive (Inbound), 22 Glenwood (Inbound&Outbound), 42 Pryor (Outbound), 55 Jonesboro (Inbound)"
211098,22 Glenwood (Inbound)
211086,121L Memorial / Pleasantdale (Inbound)
211018,184 Buffington (Outbound)
211017,184 Buffington (Inbound)
211006,84b Washington CCW loop (Inbound)
210995,89a Old National Highway / Flat Shoals (Inbound)
210919,117 Stone Mountain / Panola (Outbound)
210905,22 Glenwood (Outbound)
210847,122 Lawrenceville Hwy (Inbound)
210800,21 Memorial Drive (Outbound)
210794,117 Stone Mountain / Panola (Inbound)
210793,117 Stone Mountain / Panola (Outbound)
210667,79 Sylvan Hills (Inbound)
210389,165 Fairburn (Inbound)
210382,125 Clarkston / Chamblee Tucker (Outbound)
210360,11 Defoor / Emery (Inbound)
210350,114 Columbia / Snapfinger (Inbound)
210327,"20L Rainbow / Fairington (Inbound), 20p Rainbow / Fairington (Inbound)"
210194,84b Washington CCW loop (Inbound)
210193,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Outbound)"
210192,84b Washington CCW loop (Inbound)
210191,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Outbound)"
210189,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Inbound&Outbound)"
210188,"84a Washington CW loop (Inbound), 84b Washington CCW loop (Inbound)"
210185,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Outbound)"
210184,"84a Washington CW loop (Outbound), 84b Washington CCW loop (Outbound)"
210171,"165 Fairburn (Inbound), 84b Washington CCW loop (Outbound)"
210161,114 Columbia / Snapfinger (Inbound)
210050,12 Howell Mill / 10th (Outbound)
210045,32 Bouldercrest (Inbound)
210025,117 Stone Mountain / Panola (Outbound)
210022,117 Stone Mountain / Panola (Inbound)
906398,180L Roosevelt / Palmetto (Outbound)
906397,180L Roosevelt / Palmetto (Inbound)
906396,180L Roosevelt / Palmetto (Inbound)
906395,180L Roosevelt / Palmetto (Inbound)
906394,180L Roosevelt / Palmetto (Inbound)
906393,180L Roosevelt / Palmetto (Inbound)
906392,180L Roosevelt / Palmetto (Inbound&Outbound)
906391,180L Roosevelt / Palmetto (Outbound)
906390,180L Roosevelt / Palmetto (Outbound)
906389,180L Roosevelt / Palmetto (Inbound)
906388,180L Roosevelt / Palmetto (Inbound)
906387,180L Roosevelt / Palmetto (Outbound)
906386,180L Roosevelt / Palmetto (Outbound)
197140,180L Roosevelt / Palmetto (Inbound&Outbound)
197130,180L Roosevelt / Palmetto (Outbound)
197110,180L Roosevelt / Palmetto (Outbound)
197100,180L Roosevelt / Palmetto (Outbound)
197040,180L Roosevelt / Palmetto (Inbound)
197036,180L Roosevelt / Palmetto (Inbound)
197030,180L Roosevelt / Palmetto (Inbound)
193028,89a Old National Highway / Flat Shoals (Outbound)
193026,89a Old National Highway / Flat Shoals (Outbound)
193006,89a Old National Highway / Flat Shoals (Inbound)
193004,89a Old National Highway / Flat Shoals (Inbound)
193002,89a Old National Highway / Flat Shoals (Inbound)
192010,89a Old National Highway / Flat Shoals (Outbound)
192008,89a Old National Highway / Flat Shoals (Inbound)
192004,89a Old National Highway / Flat Shoals (Outbound)
192002,89a Old National Highway / Flat Shoals (Inbound)
191091,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
191090,180L Roosevelt / Palmetto (Outbound)
191088,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
191086,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
191084,184 Buffington (Inbound)
191082,180L Roosevelt / Palmetto (Outbound)
191078,180L Roosevelt / Palmetto (Inbound)
191072,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
191070,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
191064,180L Roosevelt / Palmetto (Inbound)
191058,180L Roosevelt / Palmetto (Outbound)
191048,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
191046,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
191044,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
191042,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
191038,180L Roosevelt / Palmetto (Outbound)
191036,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
191034,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
191032,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
191030,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
191020,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
191011,180L Roosevelt / Palmetto (Outbound)
191009,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
191007,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
191005,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
191003,184 Buffington (Outbound)
190064,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
190058,180L Roosevelt / Palmetto (Outbound)
190052,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Inbound), 182 Fulton Hwy / Union City (Inbound)"
190034,180L Roosevelt / Palmetto (Inbound)
190024,185 Alpharetta (Outbound)
190021,"180L Roosevelt / Palmetto (Inbound&Outbound), 180 Roosevelt (Outbound), 182 Fulton Hwy / Union City (Outbound)"
190020,180L Roosevelt / Palmetto (Outbound)
190012,180L Roosevelt / Palmetto (Inbound)
190010,180L Roosevelt / Palmetto (Inbound)
190004,180L Roosevelt / Palmetto (Outbound)
184102,184 Buffington (Inbound)
184100,184 Buffington (Inbound)
184099,184 Buffington (Inbound)
184098,184 Buffington (Outbound)
184092,184 Buffington (Outbound)
184090,184 Buffington (Inbound)
184088,184 Buffington (Outbound)
184070,89a Old National Highway / Flat Shoals (Inbound)
184066,89a Old National Highway / Flat Shoals (Outbound)
184062,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184061,89a Old National Highway / Flat Shoals (Outbound)
184060,89a Old National Highway / Flat Shoals (Outbound)
184058,89a Old National Highway / Flat Shoals (Outbound)
184057,89a Old National Highway / Flat Shoals (Outbound)
184056,89a Old National Highway / Flat Shoals (Outbound)
184052,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184050,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184048,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184046,184 Buffington (Inbound)
184044,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184042,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184038,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184036,89b Old National Highway / Riverdale (Outbound)
184034,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184032,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184030,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184029,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
184028,184 Buffington (Outbound)
184027,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184026,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184022,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184020,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184018,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
184012,89a Old National Highway / Flat Shoals (Inbound)
184005,89a Old National Highway / Flat Shoals (Inbound)
184004,89a Old National Highway / Flat Shoals (Inbound)
184002,89a Old National Highway / Flat Shoals (Inbound)
183038,184 Buffington (Inbound)
183032,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
183030,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
183028,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
183026,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
183024,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
183022,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
183020,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
183018,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
183016,89a Old National Highway / Flat Shoals (Outbound)
183014,89a Old National Highway / Flat Shoals (Outbound)
182038,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182032,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182030,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182029,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182028,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182026,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182025,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
182020,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
182014,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
182010,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
182006,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176232,184 Buffington (Inbound)
176230,184 Buffington (Outbound)
176226,187 Airport Loop (Outbound)
176224,187 Airport Loop (Inbound)
176222,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound), 195 Forest Parkway (Inbound), 89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176220,187 Airport Loop (Inbound)
176216,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176198,187 Airport Loop (Inbound)
176194,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176192,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176186,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176182,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176180,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176176,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176174,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176169,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176166,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound), 195 Forest Parkway (Outbound), 89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176162,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound), 195 Forest Parkway (Outbound), 89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176160,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound), 195 Forest Parkway (Outbound), 89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176152,"187 Airport Loop (Inbound), 195 Forest Parkway (Outbound), 89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176150,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176144,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176140,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176138,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176134,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176132,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176128,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176124,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound), 195 Forest Parkway (Inbound), 89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176120,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound), 195 Forest Parkway (Inbound), 89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176116,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound), 195 Forest Parkway (Inbound), 89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176110,195 Forest Parkway (Inbound)
176108,195 Forest Parkway (Inbound)
176106,195 Forest Parkway (Inbound)
176104,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176100,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176098,"89a Old National Highway / Flat Shoals (Inbound), 89b Old National Highway / Riverdale (Inbound)"
176096,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176094,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176090,"89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176088,"195 Forest Parkway (Inbound), 89a Old National Highway / Flat Shoals (Outbound), 89b Old National Highway / Riverdale (Outbound)"
176078,187 Airport Loop (Outbound)
176076,187 Airport Loop (Outbound)
176070,187 Airport Loop (Inbound)
176068,187 Airport Loop (Inbound)
176066,187 Airport Loop (Inbound)
176064,187 Airport Loop (Inbound)
176062,187 Airport Loop (Inbound)
176060,187 Airport Loop (Inbound)
176058,187 Airport Loop (Inbound)
176048,84b Washington CCW loop (Inbound)
176038,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
176018,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176016,"180L Roosevelt / Palmetto (Outbound), 180 Roosevelt (Outbound)"
176004,84a Washington CW loop (Outbound)
176002,84a Washington CW loop (Outbound)
175024,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
175022,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
175020,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
175018,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
175014,"180L Roosevelt / Palmetto (Inbound), 180 Roosevelt (Inbound)"
