StopAbbr,BusStopType,LineAbbr,IsTP,IsEOL,Helper-0,Helper-1,Helper-2,Helper-3,Helper-4,Helper-5,Helper-6,Helper-7,Helper-8,Helper-9,Helper-10,Helper-11,EOL-0,EOL-1,EOL-2,EOL-3,EOL-4,EOL-5,EOL-6,EOL-7,EOL-8,EOL-9,EOL-10,EOL-11,EOL-12,CountEOL
100074,SGN,58,FALSE,FALSE,100074-58-Northbound-6,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100076,SGN,58,FALSE,FALSE,100076-58-Northbound-7,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100078,SGN,58,FALSE,FALSE,100078-58-Northbound-8,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100080,SGN,58,FALSE,FALSE,100080-58-Northbound-9,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100082,SGN,58,FALSE,FALSE,100082-58-Northbound-10,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100084,SGN,58,FALSE,FALSE,100084-58-Northbound-13,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100086,SGN,58,FALSE,FALSE,100086-58-Northbound-14,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100088,SGN,58,FALSE,FALSE,100088-58-Southbound-59,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100090,SGN,58,FALSE,FALSE,100090-58-Southbound-60,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100092,SGN,58,FALSE,FALSE,100092-58-Southbound-61,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100094,SGN,58,FALSE,FALSE,100094-58-Southbound-62,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100096,SGN,58,FALSE,FALSE,100096-58-Southbound-63,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100098,SGN,58,FALSE,FALSE,100098-58-Southbound-64,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100100,SGN,58,FALSE,FALSE,100100-58-Southbound-65,,,,,,,,,,,,West End Stn,,,,,,,,,,,,,1
100102,SGN,58,FALSE,FALSE,100102-58-Northbound-12,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100114,STR,1;68,FALSE,FALSE,100114-68-Eastbound-70,100114-1-Northbound-7,,,,,,,,,,,Moores Mill Ctr,Ashby Stn,,,,,,,,,,,,2
100115,SGN,1;68,FALSE,FALSE,100115-68-Eastbound-71,100115-1-Northbound-8,,,,,,,,,,,Moores Mill Ctr,Ashby Stn,,,,,,,,,,,,2
100124,SGN,3,FALSE,FALSE,100124-3-Westbound-27,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100126,SGN,3,FALSE,FALSE,100126-3-Westbound-26,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100128,SGN,3,FALSE,FALSE,100128-3-Eastbound-20,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
100130,SGN,3,FALSE,FALSE,100130-3-Westbound-25,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100132,SGN,3,FALSE,FALSE,100132-3-Eastbound-21,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
100134,SGN,3,FALSE,FALSE,100134-3-Westbound-24,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100136,SGN,3,FALSE,FALSE,100136-3-Eastbound-22,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
100137,SCD,3,TRUE,FALSE,100137-3-Eastbound-24,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
100138,SGN,3,FALSE,FALSE,100138-3-Westbound-23,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100142,SGN,3,TRUE,FALSE,100142-3-Westbound-21,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100148,SGN,3,FALSE,FALSE,100148-3-Westbound-28,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100150,SGN,3,FALSE,FALSE,100150-3-Westbound-29,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
100152,SGN,813,FALSE,FALSE,100152-813-Eastbound-17,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
100154,SGN,813,FALSE,FALSE,100154-813-Westbound-24,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
100160,SGN,813,FALSE,FALSE,100160-813-Eastbound-18,,,,,,,,,,,,Georgia State Stn,,,,,,,,,,,,,1
100162,SGN,813,FALSE,FALSE,100162-813-Westbound-20,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
100164,SGN,3,FALSE,FALSE,100164-3-Eastbound-23,,,,,,,,,,,,Helene Mills Sr Ctr,,,,,,,,,,,,,1
100166,SGN,58,FALSE,FALSE,100166-58-Northbound-11,,,,,,,,,,,,Bolton/Parrot Ave,,,,,,,,,,,,,1
100168,SGN,813,FALSE,FALSE,100168-813-Westbound-19,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
100170,SGN,813,FALSE,FALSE,100170-813-Westbound-29,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101002,SGN,68,FALSE,FALSE,101002-68-Westbound-14,,,,,,,,,,,,HE Holmes Stn,,,,,,,,,,,,,1
101006,SGN,68,FALSE,FALSE,101006-68-Eastbound-66,,,,,,,,,,,,Ashby Stn,,,,,,,,,,,,,1
101008,SGN,68,FALSE,FALSE,101008-68-Eastbound-68,,,,,,,,,,,,Ashby Stn,,,,,,,,,,,,,1
101010,SGN,813,FALSE,FALSE,101010-813-Westbound-9,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101016,SGN,813,FALSE,FALSE,101016-813-Westbound-13,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
101022,SGN,813,TRUE,FALSE,101022-813-Westbound-14,,,,,,,,,,,,West Lake Stn,,,,,,,,,,,,,1
